Shots,Saves,Crosses,Fouls,Offsides,Corners,Yellow Card,Red Cards,Passes,Interceptions,Blocks,Catches,Tackles,liverpool_result_ft,Rest_Days,Elo_Diff,home_0_away_1
21,1,15,22,3,3,0,0,479,29,17,0,25,V,3,356.62744141000013,0
15,4,22,10,7,4,3,0,268,89,2,2,7,D,4,185.47326659999,1
13,4,10,6,7,9,0,0,495,82,4,2,4,D,3,-199.48583983999995,0
4,8,8,12,4,1,2,0,396,76,15,0,8,D,3,-246.69226073999997,1
8,3,14,21,1,2,0,0,364,59,9,2,3,N,3,268.56665038999995,1
16,3,17,12,2,4,3,1,453,86,5,0,5,N,3,92.01550292999993,0
14,3,22,12,1,5,2,0,265,5,15,2,14,V,3,68.43115233999994,1
20,2,24,3,2,4,1,0,325,10,23,0,16,V,4,88.10327148000009,0
24,0,26,14,0,10,3,1,389,6,29,1,21,N,4,21.719604489999934,0
17,1,45,11,3,5,2,0,532,7,10,8,13,N,3,282.04370117000013,1
28,2,32,11,3,9,0,0,710,3,12,2,9,V,3,403.02392577999984,1
23,1,48,7,0,17,0,0,802,3,13,9,6,V,4,403.36816406,0
10,2,15,19,1,7,3,0,208,12,22,1,10,N,3,79.83837891000006,1
17,4,15,16,2,3,1,0,499,7,22,3,17,V,4,170.7110595700001,0
13,2,13,10,1,1,0,0,532,1,19,4,22,V,3,117.28051757999992,1
13,1,26,11,5,1,1,0,723,5,16,2,19,N,3,142.8515625,0
8,0,16,6,3,0,1,0,290,2,34,0,22,V,4,-84.68261718999997,0
5,2,7,7,0,2,4,0,224,13,29,4,10,V,3,-43.551879879999895,1
20,4,31,13,5,7,3,0,366,13,20,10,13,V,3,85.4575195299999,0
11,3,10,14,5,3,3,0,273,10,22,3,7,D,4,99.39086913999996,1
12,2,24,18,3,5,1,0,266,7,18,3,20,D,13,-87.11682128999996,1
17,3,46,14,1,13,1,0,468,9,9,3,15,V,3,37.02026367000008,0
4,3,13,9,1,1,1,0,450,6,14,2,14,D,4,91.14575194999998,1
22,0,26,10,4,4,0,0,569,6,15,3,17,V,4,423.55993652000006,0
22,2,41,9,4,9,1,0,536,1,9,6,6,D,3,429.60778809,1
7,6,28,20,1,5,6,0,476,2,18,4,19,D,4,22.818725589999985,1
23,3,24,16,5,3,4,0,440,9,21,5,8,V,3,58.54663086000005,0
16,1,25,10,1,5,1,0,431,9,17,1,13,N,10,3.2047119100000145,0
9,1,19,14,2,7,3,0,350,6,16,4,18,V,3,-3.02734375,1
14,3,20,9,4,4,0,0,569,3,22,7,16,V,4,162.84802246000004,0
11,7,12,13,2,3,1,0,354,9,27,7,13,V,3,174.65966797000007,1
14,2,31,15,1,5,1,0,482,11,11,7,9,D,5,-35.55041503999996,1
13,5,33,12,1,7,2,0,362,13,21,5,12,V,3,-38.636840820000096,0
14,8,19,6,2,9,0,0,197,8,11,6,12,V,20,139.97473145000004,1
12,3,15,10,1,6,2,0,520,5,25,1,20,D,3,256.13549805,1
11,2,21,7,1,6,1,0,694,7,18,3,10,V,4,235.74169922000007,0
16,3,31,14,2,7,1,0,712,1,20,6,10,V,3,422.11743164,1
27,2,30,10,3,9,0,0,716,7,9,3,12,V,3,461.2434081999999,0
14,0,49,15,0,10,2,0,687,4,20,7,8,N,4,278.20532227000007,0
22,5,20,4,1,4,1,0,504,9,19,4,9,V,3,262.83374022999993,1
6,1,33,13,1,7,3,0,640,1,10,1,11,D,3,244.40844727000007,1
35,3,72,18,2,16,1,0,764,10,16,6,15,D,4,204.39086913999995,0
16,4,17,12,4,3,4,1,378,22,13,3,13,D,6,67.60021972999994,1
14,1,21,10,0,4,1,0,268,38,7,1,3,N,3,-188.74841309,0
17,3,21,12,3,10,2,0,439,25,5,0,21,D,3,-84.47619628999995,0
23,0,38,11,1,7,2,0,525,70,4,0,11,N,13,46.60900878999996,1
12,1,23,14,0,7,1,1,299,14,1,1,11,D,3,-181.70471191,0
15,2,15,6,5,5,0,0,587,30,2,0,2,V,3,112.04785156000004,1
17,2,25,9,0,5,0,0,468,37,12,0,2,N,3,52.6032714800001,0
26,3,17,13,3,6,1,0,308,34,2,1,13,V,13,107.62756347999995,0
12,1,12,18,3,5,3,0,144,18,5,0,13,N,3,-55.607910160000074,1
21,2,33,12,0,14,0,0,414,73,5,1,10,N,4,-20.459838870000116,0
9,2,8,13,7,7,3,0,318,33,3,0,0,N,3,-146.03991698999994,1
23,2,23,9,1,10,0,0,343,73,1,1,7,V,6,79.2890625,0
21,2,23,10,3,6,0,0,416,121,6,1,6,N,3,72.41076659998998,1
15,4,29,18,1,12,2,0,472,92,2,3,17,D,3,-33.08911132999992,1
24,2,62,15,3,10,2,0,470,135,5,1,11,V,3,156.06506347999994,0
14,4,24,12,1,5,2,0,396,54,7,3,6,V,3,65.91943358999994,1
28,3,53,5,3,7,1,0,467,68,0,1,10,D,6,107.65087891000007,0
20,3,19,13,3,8,1,0,436,25,4,1,2,V,7,42.44140625,0
15,3,25,6,3,8,1,0,334,29,5,0,0,D,4,41.857421879999954,1
18,6,50,9,1,9,1,0,490,21,3,5,13,V,4,167.7143554700001,1
27,2,23,9,7,9,0,0,491,20,10,0,13,V,3,70.72534179999002,0
12,4,18,15,1,1,4,0,409,13,8,1,15,D,7,-176.45019531000003,1
18,2,28,10,2,9,1,0,582,7,2,1,2,V,6,102.49072266000007,0
11,5,14,11,3,6,1,0,286,39,8,1,4,N,3,-54.49365233999993,1
18,1,20,8,2,10,4,0,347,20,3,0,3,N,4,-140.6055908200001,1
25,1,32,10,5,13,1,0,427,130,1,0,5,D,8,90.52172851999991,0
33,3,11,6,1,10,0,0,390,49,5,0,0,V,3,37.794799799999964,0
8,10,3,15,4,3,2,0,304,46,4,1,2,V,9,116.38793944999998,1
11,6,9,9,6,1,1,0,215,29,6,1,1,V,8,-70.34899902000006,0
8,8,9,10,6,5,1,0,348,78,6,3,0,D,6,164.78649902000006,1
17,3,7,9,6,8,1,0,438,88,1,2,0,V,15,130.75964354999996,1
19,4,6,8,4,12,0,0,388,4,0,0,1,N,7,122.06286621000004,0
26,5,0,9,6,9,1,0,395,154,4,1,10,N,6,191.4608154299999,1
23,5,12,9,1,8,5,0,328,6,3,1,1,N,8,-95.12719726999991,0
11,1,0,7,5,7,2,0,402,95,3,0,0,V,6,77.60168457000009,1
16,4,19,10,3,3,1,0,255,47,13,1,4,N,8,-14.067749020000065,0
19,4,11,10,2,8,1,0,475,69,4,2,12,V,7,120.53271483999993,1
27,0,0,7,2,14,1,0,514,39,5,0,5,V,7,224.16760254,0
26,7,9,11,2,12,1,0,389,18,6,1,2,V,7,140.17736816,0
5,3,7,8,2,2,3,0,340,54,3,1,3,V,7,116.51159667999993,1
9,4,5,15,1,2,2,0,206,32,13,3,13,V,5,-119.82165527000005,0
12,7,11,10,2,7,3,0,339,83,5,4,9,N,15,126.8979492200001,1
10,6,15,6,3,6,0,0,316,70,1,2,3,D,5,172.47729492000008,0
15,4,24,10,1,8,1,0,345,16,16,0,13,V,4,183.70678711000005,1
13,1,30,11,5,10,2,0,574,94,8,0,12,V,6,289.97290038999995,0
23,2,14,10,2,13,3,0,508,76,6,0,13,N,14,134.27978516000007,1
18,2,13,14,1,3,0,0,361,38,10,1,11,V,7,117.47644042999993,0
12,5,25,7,4,5,1,0,338,70,13,2,6,D,7,-66.70349121000004,1
32,1,20,13,4,9,0,0,675,62,8,1,5,V,7,153.69433593999997,0
11,9,11,15,4,7,3,0,218,64,1,1,0,N,14,7.154418950000036,1
9,2,1,16,0,6,0,0,369,7,2,1,0,D,8,273.79821777000006,1
28,4,16,10,2,4,3,0,503,65,4,3,4,V,3,150.20410156000003,0
32,1,22,9,2,8,0,0,485,86,18,0,1,V,3,147.6342773399999,0
20,0,15,15,4,9,0,0,377,11,16,0,7,V,8,-21.526733400010013,1
27,2,19,11,2,9,2,0,494,74,7,1,1,V,6,234.26171875,0
12,4,20,9,3,6,3,0,371,31,13,3,7,D,5,-93.72937012000013,1
8,3,12,17,1,2,1,0,290,85,1,0,2,D,3,-64.09521483999994,1
17,0,10,15,1,3,1,0,370,84,8,0,4,V,3,237.89685059,0
13,1,14,8,0,2,1,0,285,20,7,0,4,V,7,175.92443847999994,1
14,1,12,14,3,2,1,0,363,85,5,0,14,N,6,183.0665283200001,0
20,4,5,11,1,5,0,0,279,103,29,1,9,V,3,4.142333980000103,0
12,3,11,15,2,4,2,0,365,126,18,1,4,N,5,184.0194091799999,1
22,5,16,14,4,6,1,0,243,79,2,4,1,V,6,-53.248046879999954,0
21,2,31,9,0,5,3,0,573,98,2,1,1,V,4,262.87463379,1
21,2,12,9,2,3,1,0,410,22,5,0,12,V,7,186.81054687999998,0
12,2,10,6,1,6,2,0,318,94,6,1,9,V,6,164.43078612999992,1
17,1,14,12,1,4,4,0,247,9,2,0,2,V,15,-5.056274410000015,1
19,0,17,11,1,6,3,0,433,53,0,0,1,V,6,332.50073242000013,1
21,3,14,5,2,3,0,0,322,21,8,2,1,V,4,269.61303711000005,0
11,4,25,9,2,5,0,0,425,51,4,2,3,V,4,86.29431152000005,0
17,0,11,9,0,4,0,0,446,21,8,0,5,V,7,225.0135498,1
10,4,11,7,5,7,1,1,336,63,17,1,12,V,7,-47.20727538999995,0
14,3,7,10,1,3,2,0,483,81,9,1,14,V,7,306.2901611299999,1
26,2,30,9,1,14,0,0,540,99,5,0,12,D,7,-10.6953125,0
26,3,24,12,3,7,3,0,556,81,4,1,12,N,8,282.50878906,1
13,2,19,8,3,6,1,0,596,104,4,1,7,V,6,244.61633301000006,0
12,5,12,8,2,2,1,0,452,51,4,3,5,V,7,180.86303711000005,0
11,1,16,7,1,7,1,0,446,92,2,1,6,D,8,-56.2087402300001,1
17,1,8,11,1,3,4,0,243,56,1,0,6,V,6,83.76953125,1
18,0,22,9,3,7,2,0,618,45,0,0,12,D,13,272.55236816,0
11,4,17,11,0,5,1,0,393,87,5,2,12,D,4,235.68005371000004,1
24,4,20,8,2,8,2,0,365,86,5,3,10,N,7,62.014160160000074,0
19,3,21,12,3,5,2,0,223,39,8,2,6,V,3,215.27001952999993,0
15,4,9,15,2,2,3,0,376,109,7,0,12,V,15,302.68725586000005,1
18,3,29,12,1,14,3,0,441,24,5,2,22,N,3,265.09118652000006,0
6,1,18,8,7,2,3,0,483,77,9,0,10,D,4,201.81103516000007,1
12,3,26,9,6,5,2,0,432,81,9,2,10,D,4,-105.17285156000004,0
12,2,18,10,1,3,2,0,469,64,6,1,5,D,15,220.15051270000004,1
16,4,24,11,0,5,0,0,369,95,9,1,6,V,3,127.33056641000007,0
11,3,14,10,6,4,2,0,352,77,14,2,5,V,3,194.09375,1
15,1,27,12,1,5,1,0,375,93,6,0,14,N,4,163.61145020000004,0
19,3,10,14,2,7,3,0,349,92,2,1,5,D,5,-44.132934570000096,1
27,1,10,6,0,10,0,1,518,115,6,0,8,N,4,-58.25366211000005,0
10,0,13,5,4,2,1,0,395,105,10,0,1,V,5,202.64733887000008,1
21,3,9,8,2,6,1,0,405,66,3,2,6,V,3,106.18505858999993,0
18,1,12,13,2,4,2,0,362,64,9,0,9,N,3,209.46789551000006,0
21,1,14,11,0,6,4,0,430,64,7,1,14,V,5,152.0561523399999,1
12,4,16,11,5,5,1,0,374,85,4,1,9,V,7,192.59545898000007,1
21,2,12,12,1,5,1,0,435,88,7,2,13,V,4,99.31896972999995,0
17,1,7,7,2,6,1,0,452,61,0,0,10,N,3,66.4051513700001,1
16,3,13,13,1,5,3,0,294,73,9,1,7,V,3,21.03479003999996,0
6,5,6,14,2,1,3,0,272,78,4,2,20,V,3,50.15197753999996,1
11,0,11,8,3,3,1,0,366,95,5,0,12,V,7,-100.09899902000005,0
20,1,9,8,0,6,0,0,554,38,14,1,19,V,3,251.05700684,0
16,3,15,16,0,5,3,0,478,92,3,1,14,V,8,154.18725586000005,1
7,2,5,14,0,2,2,1,295,60,10,1,13,D,6,-9.373168950000037,0
13,6,11,9,3,5,0,1,389,96,5,3,9,D,13,-41.3767089800001,1
14,3,17,8,3,6,2,0,427,52,4,2,23,V,5,181.78552246000004,0
22,4,23,11,1,4,0,0,566,139,2,2,4,N,6,206.02526855,1
12,3,14,10,0,7,0,0,513,84,6,1,9,D,3,231.78833007999992,1
25,1,18,9,3,9,2,0,348,113,9,1,5,V,4,240.08776855,0
15,2,22,11,3,4,3,0,391,84,14,0,16,N,8,-129.72497559,1
18,3,22,10,1,4,2,0,480,63,3,0,5,D,6,173.0001220700001,0
13,3,9,4,1,9,2,0,398,75,2,0,4,D,8,95.94396972999995,1
8,1,21,16,2,5,4,0,382,100,5,1,35,V,7,54.27673340000001,1
18,2,10,11,1,6,1,0,405,90,4,2,57,V,8,176.2225341799999,0
15,5,16,13,4,8,4,0,253,60,22,3,26,N,7,-70.69494628999995,1
13,2,12,17,1,5,3,1,442,17,7,0,15,D,5,167.3516845700001,0
8,0,9,11,2,4,2,0,333,23,8,0,33,D,14,-66.70251465000001,1
22,1,18,4,3,6,1,0,469,32,3,0,8,N,3,120.66650391000007,0
21,2,23,8,3,11,0,0,489,12,3,1,25,V,6,167.27893066,0
13,3,18,19,0,11,3,0,303,33,7,0,42,N,3,-6.823852539999963,1
12,4,9,11,5,6,2,0,317,18,5,0,43,N,13,-24.45202637000011,1
15,2,15,8,4,10,1,0,483,8,10,1,23,N,3,19.800659179999908,0
16,1,12,21,2,7,4,0,437,7,6,0,31,V,3,-93.9498291,1
22,2,27,7,1,14,1,0,389,1,2,0,25,D,3,84.79821777000006,0
14,2,13,13,5,5,3,0,256,5,5,0,62,V,13,-158.7231445299999,1
10,0,22,12,0,8,3,0,445,1,7,0,30,V,3,111.18371582000007,0
10,0,34,10,2,7,1,0,438,14,5,0,37,D,4,202.55578612999992,1
28,0,30,7,1,4,0,0,523,2,3,0,21,N,3,97.46520996000004,0
12,2,20,9,10,9,0,0,376,7,3,0,29,D,7,110.63769531000004,1
25,3,23,11,5,7,2,0,399,5,6,0,25,V,6,-3.5346679700001005,0
17,3,14,16,0,4,3,0,338,2,8,1,28,V,4,159.32971191,1
23,8,34,8,3,9,1,0,383,17,5,5,26,D,3,74.77990722999994,1
22,1,24,9,4,9,2,0,416,4,5,0,28,N,5,-120.55541992000008,0
19,0,20,6,3,5,0,0,363,7,7,0,37,D,4,-50.766723629999895,0
13,1,24,14,4,3,1,0,334,13,10,1,23,V,3,116.88439941,1
14,4,27,7,2,12,1,0,431,6,5,1,33,D,3,-13.62622070000998,1
16,0,27,4,3,7,1,0,568,2,4,0,14,N,4,133.4770507799999,0
11,1,24,9,1,6,1,0,538,10,1,0,39,V,5,158.5546875,1
11,1,18,14,4,3,0,0,353,11,1,1,32,V,6,-114.80236816,0
19,3,25,16,2,6,2,1,466,13,10,1,36,V,4,121.83825684,1
18,2,19,13,2,5,3,0,363,2,7,0,27,D,3,52.939453120000046,1
15,4,19,11,0,12,2,0,240,10,9,0,48,N,13,-47.20019531000002,0
14,2,23,14,1,6,0,0,394,7,3,0,39,V,3,69.91552733999994,0
19,3,19,9,3,4,0,0,395,27,15,1,28,V,3,156.55432128999996,1
37,0,49,8,2,9,1,0,522,21,4,0,26,V,3,93.76208496000004,0
13,1,32,8,3,5,1,0,492,22,3,1,18,N,3,225.88342285,0
11,6,16,13,0,7,2,1,433,12,8,2,34,D,3,154.88464354999996,1
19,3,23,10,2,8,1,0,460,17,5,0,30,V,3,172.20996093999997,0
28,6,29,11,1,7,3,0,477,24,5,1,34,N,3,25.60974121000004,0
7,0,14,14,0,5,1,0,500,11,6,0,34,N,4,173.4959716799999,1
16,2,14,17,3,4,3,0,354,0,27,0,26,V,7,-39.817626949999976,1
26,0,38,5,0,12,1,0,734,0,13,0,16,D,6,182.15234375,1
13,3,15,17,6,5,5,0,314,10,30,0,16,N,4,-10.762817379999886,1
17,2,12,4,3,1,1,0,473,0,24,0,13,V,14,-5.857177730000102,0
13,3,16,13,2,4,1,0,407,0,20,0,17,V,6,1.0721435499999643,1
32,0,28,8,0,13,1,0,680,6,7,0,18,V,4,208.18359375,0
18,2,45,9,2,10,2,0,465,6,22,0,18,V,7,155.40649413999995,1
9,1,13,14,2,3,0,0,468,8,19,0,22,N,16,43.856567379999895,0
21,0,24,9,3,3,1,0,547,3,19,0,13,V,5,172.2147216799999,0
17,4,21,5,1,3,2,0,397,1,11,0,24,V,4,188.21130371000004,1
28,7,27,14,1,6,1,0,408,7,13,0,20,V,8,182.10266112999992,0
15,0,29,11,2,8,1,0,529,6,27,0,14,N,13,84.46215819999998,1
27,1,48,4,0,9,1,0,590,2,23,0,17,V,7,219.03967285,0
10,4,33,17,1,9,2,0,460,5,19,0,15,D,5,215.3634033200001,1
18,1,50,7,5,11,2,0,500,0,18,0,5,N,7,178.7110595700001,0
15,3,17,14,4,2,0,0,596,7,16,0,19,V,3,210.63537597999996,1
11,1,27,9,1,6,1,0,479,9,21,0,17,V,5,127.68908691,1
20,1,21,9,0,8,0,0,504,7,15,0,22,V,8,162.9497070299999,0
5,2,10,12,2,4,2,0,285,13,26,0,13,V,4,-15.790039060000026,0
21,3,28,10,3,5,3,0,600,3,16,0,10,N,2,245.82714844,1
13,2,19,13,2,7,3,0,269,0,26,0,25,N,4,25.945556639999946,1
16,0,47,7,2,6,1,0,652,4,15,0,19,D,3,244.03796387000008,0
7,1,30,13,5,3,2,0,487,10,20,0,14,N,3,-49.80139159999999,0
22,2,49,12,1,15,1,0,501,2,15,0,10,D,4,264.6584472699999,1
18,2,25,14,2,10,3,0,268,12,24,0,11,V,7,-39.5434570299999,0
17,4,38,5,2,12,0,0,503,8,21,0,19,D,16,144.77148437999998,1
18,2,24,8,5,9,1,0,317,6,18,0,15,V,5,-42.4135742200001,0
10,0,29,12,3,11,2,0,386,8,13,0,4,V,8,176.16699218999997,0
13,2,21,7,2,8,3,0,286,7,20,0,16,N,7,-22.52465820000998,1
10,3,9,17,1,2,1,0,330,8,23,3,16,V,13,58.083984379999954,0
20,0,33,11,2,7,1,0,465,3,18,3,13,N,4,201.95202637000008,0
14,3,22,11,2,8,2,0,371,7,19,3,19,V,3,153.31542968999997,1
15,2,18,9,2,4,1,0,446,8,21,3,14,V,8,159.36437987999992,1
14,1,29,8,0,4,1,0,497,3,12,4,15,D,7,189.25988770000004,0
12,2,24,9,0,5,1,0,408,8,21,3,7,V,8,193.95959472999996,1
17,0,21,9,1,3,1,0,475,5,19,3,16,N,6,128.80273437999998,0
26,3,23,10,3,6,0,0,513,5,7,6,24,V,7,146.51379395000004,1
25,3,21,13,1,3,0,0,649,2,14,6,8,V,7,269.69250487999994,0
14,1,16,8,1,3,3,0,370,6,23,1,14,N,7,233.66101073999997,1
23,1,30,12,2,4,1,0,623,4,9,6,14,V,4,222.015625,0
18,0,20,6,3,4,2,0,438,7,21,2,18,V,4,7.508789060000026,0
7,5,11,9,2,3,2,1,317,9,17,5,12,D,13,-10.936645510000062,1
35,2,47,7,1,12,1,0,616,1,15,4,5,N,3,195.14086913999995,0
23,5,18,14,1,6,3,0,365,3,13,2,11,V,4,130.63708496000004,1
17,4,30,6,2,5,1,0,553,5,11,6,13,N,5,207.91076659999,1
19,1,34,7,3,7,0,0,540,7,18,1,9,N,13,-66.00012207000009,0
12,1,33,8,2,5,1,0,563,1,18,5,22,D,5,-68.06115722999994,1
16,0,27,10,0,9,0,0,696,3,9,4,15,V,6,309.83435059,0
15,0,10,13,1,3,0,0,402,4,21,4,17,V,3,197.0545654299999,1
21,0,24,15,2,10,1,0,491,1,13,3,13,V,14,180.9329834,0
16,2,22,10,0,7,0,0,535,9,22,3,15,N,4,-62.739379879999895,0
14,1,21,10,2,9,5,0,463,4,25,2,9,V,4,197.23876952999993,1
12,1,14,7,2,2,0,0,600,8,12,2,8,V,3,241.15441895000004,1
23,1,52,8,1,12,1,0,674,1,16,5,9,N,4,197.17480469,0
13,1,21,16,1,5,1,0,642,2,19,9,19,N,3,250.81555176000006,0
21,2,21,10,4,3,1,0,600,3,21,4,10,V,4,219.6329345700001,1
14,1,27,11,1,8,0,0,351,12,22,8,16,N,5,35.739746089999926,1
22,4,24,5,3,4,0,0,540,6,15,4,13,V,4,267.42639159999,0
17,0,28,7,5,7,3,0,491,4,19,4,14,V,4,153.34729003999996,0
18,3,27,12,2,9,0,0,447,2,19,6,10,V,2,189.5213623,1
16,1,17,10,3,5,2,0,304,6,22,4,26,V,9,-91.63977051000006,0
21,1,34,9,1,9,2,0,683,0,8,8,14,D,8,284.25512695,1
14,1,23,8,2,4,0,0,834,2,9,6,10,V,3,345.71899413999995,1
9,4,18,15,2,3,3,0,210,3,27,7,8,N,5,-31.751708980000107,0
16,4,10,8,0,1,2,0,411,3,14,4,10,V,7,220.68078612999992,1
21,3,35,7,1,8,0,0,641,3,10,8,26,V,10,242.05175781000003,0
14,2,20,7,4,8,0,0,685,3,16,5,8,V,7,271.40930176000006,0
14,0,37,16,0,13,1,0,513,3,9,3,19,D,4,10.326049799999963,1
13,1,26,5,6,6,1,0,507,6,21,4,19,V,7,261.92272948999994,0
16,2,39,8,1,6,2,0,587,3,12,5,14,V,14,255.96777344,1
10,1,18,7,1,2,0,0,486,3,20,2,10,N,3,236.2891845700001,1
20,1,30,9,4,7,1,0,551,3,13,7,17,V,4,263.20568847999994,0
9,4,19,5,2,4,1,0,498,0,33,5,7,N,7,342.2442627000001,1
20,1,38,7,2,9,1,0,542,4,18,6,6,N,4,322.36901855,0
10,3,30,9,0,1,3,0,711,7,12,6,13,D,4,73.09497069999998,1
22,1,27,3,1,7,0,0,676,4,11,3,6,V,7,285.7590332,0
18,2,33,14,5,5,1,0,628,8,19,5,11,V,5,243.92382812000002,0
16,2,28,13,2,7,1,0,585,6,15,5,16,V,8,216.41906737999992,1
22,2,32,8,1,8,1,0,680,2,13,3,16,V,5,290.71032715,0
10,4,12,12,2,4,2,0,410,7,17,4,13,V,7,219.75268555,1
17,2,15,16,2,4,0,0,294,8,18,3,13,V,14,10.847534179999911,1
12,1,23,7,4,5,0,0,681,4,14,5,11,V,4,294.24194336000005,0
13,3,22,8,2,4,2,0,553,8,18,3,14,N,3,86.79602051000006,1
7,2,21,10,2,2,1,0,467,9,19,4,16,N,4,-33.9670410199999,0
11,1,20,6,2,4,2,0,499,9,25,3,11,V,13,386.21496582000015,1
19,0,32,6,0,8,0,0,776,5,14,0,13,V,3,377.84973145,0
13,3,24,7,1,8,1,0,300,5,24,5,11,N,7,90.45996093999996,1
20,3,28,11,2,6,1,0,667,3,17,3,12,V,5,339.0395507799999,0
10,1,22,13,4,5,0,1,559,15,16,4,9,V,13,262.60180663999995,1
16,3,28,12,1,8,3,0,452,3,15,3,11,V,4,202.48352051000006,0
18,5,28,3,3,9,0,0,603,3,12,8,7,V,3,300.9844970700001,1
10,2,17,11,2,6,1,0,561,7,28,2,7,V,3,236.99267577999993,1
36,1,33,6,2,13,0,0,480,5,16,3,12,V,5,88.93078612999989,0
15,5,18,3,2,10,0,0,623,11,24,5,8,V,5,309.31054687999995,1
16,2,38,7,1,10,0,0,659,8,14,7,11,V,5,311.1395263700001,0
15,1,11,8,2,5,1,0,438,14,24,4,10,V,3,101.08325194999998,0
7,2,20,7,1,1,2,0,499,7,16,3,11,D,5,-10.507080079999923,1
10,0,22,5,0,7,0,0,664,8,11,6,13,V,5,305.1094970700001,1
19,0,37,6,1,8,0,1,665,4,21,5,10,V,7,290.7277832,0
10,1,35,13,4,7,1,0,729,7,14,3,6,N,11,267.35314941,0
11,1,22,11,3,5,1,0,618,3,13,6,15,N,5,280.0102539100001,1
20,2,21,14,1,8,2,0,662,9,26,3,20,V,5,267.4415283200001,0
7,3,34,17,1,7,3,0,505,7,14,6,11,N,5,79.45117187999995,1
19,3,32,5,1,6,0,0,558,8,18,4,17,V,3,257.8337402300001,0
10,3,28,10,4,7,2,0,387,14,13,8,9,N,4,264.95910645000004,1
23,0,30,4,2,7,2,0,563,6,16,5,16,V,7,301.4514160199999,0
16,1,42,7,1,10,1,0,532,8,16,4,8,V,4,412.72216797000016,1
14,1,28,5,2,10,0,0,386,5,24,1,6,V,14,79.2221679700001,0
17,0,35,7,3,5,4,0,509,3,11,4,14,V,5,304.79174805,1
15,3,33,5,2,9,0,0,589,11,15,3,15,V,5,129.51538086000005,0
17,2,24,5,2,10,1,0,584,6,18,2,9,V,4,416.70556641000013,1
21,1,20,5,2,4,0,0,668,10,14,4,11,V,5,507.90795898000016,0
11,4,22,4,2,3,1,0,601,4,17,8,7,V,3,303.42053222999994,1
13,2,20,3,3,4,0,0,540,3,15,4,9,V,5,314.16088867000013,0
15,4,45,9,0,11,0,0,408,4,18,6,18,V,9,412.73754882999987,0
15,2,31,6,1,9,1,0,433,5,18,5,10,V,8,382.06579589999996,1
25,2,36,8,1,6,1,0,498,7,18,2,11,V,7,171.8427734400002,0
15,2,23,15,1,4,0,0,438,5,20,6,8,V,7,357.93359375,1
21,0,49,5,2,10,0,0,769,3,11,1,10,V,14,345.50927734000015,0
6,1,15,13,1,4,3,0,322,7,15,4,12,V,5,179.8470459,1
16,2,28,4,1,5,1,0,607,7,18,3,10,V,3,400.78540039,1
18,0,23,9,3,4,1,0,414,12,17,5,10,V,3,273.78515625,0
10,1,32,14,1,1,1,0,554,3,27,4,8,N,15,233.49182129,1
21,3,48,9,0,8,3,0,538,4,16,6,14,V,4,207.35034179999002,0
25,1,47,9,2,10,2,0,575,4,20,2,14,V,6,408.68359375,1
12,2,19,10,3,4,0,0,346,5,24,1,9,V,5,27.6870117200001,0
12,5,30,7,0,8,1,0,434,1,22,9,16,V,13,320.64257812000005,1
15,4,18,3,1,4,0,1,383,10,22,4,9,V,3,410.8458252,0
11,2,16,13,3,5,1,0,419,1,12,5,13,V,4,342.61401367000013,0
21,0,34,6,1,3,1,0,769,4,8,3,9,V,3,367.59387207000015,1
16,2,23,8,5,6,2,0,540,2,7,6,8,V,4,429.0173339799999,0
15,0,34,7,3,8,1,0,523,2,16,3,11,V,5,232.98071289000015,1
10,2,20,7,2,5,1,0,546,4,19,2,11,V,3,295.6369628900002,0
19,2,33,5,1,8,0,0,891,6,6,4,8,V,4,384.15380859000015,0
13,4,27,8,2,3,2,0,685,8,17,11,17,V,6,250.47412109000012,1
16,4,29,7,2,11,1,0,410,4,14,7,11,V,8,254.97216797000007,0
13,2,12,11,0,4,1,0,513,1,13,2,15,V,4,311.77856445,1
13,4,21,6,0,7,0,0,728,2,14,5,6,V,3,394.34912109000015,1
16,4,15,9,2,6,0,0,415,4,21,4,8,V,3,380.60449219000014,0
17,1,35,11,0,7,2,0,560,4,14,3,10,V,11,480.49731445,1
25,2,41,4,2,16,0,0,552,2,15,3,11,V,6,399.74145507999987,0
7,2,32,8,1,5,0,0,596,4,18,4,4,D,5,413.89550780999986,1
14,2,36,10,1,9,0,0,637,4,12,1,7,V,4,407.10473632999987,0
10,3,8,12,1,6,2,0,639,2,9,3,20,N,102,287.29455566,1
21,0,18,9,0,6,0,0,929,4,8,0,15,V,3,282.28186035,0
11,2,21,7,2,3,2,0,469,6,13,6,11,D,8,47.886596679999904,1
6,3,32,18,1,7,1,0,585,3,8,5,9,V,3,406.73840332000015,0
19,1,32,15,0,10,4,0,431,3,17,3,8,V,3,350.94079589999996,1
23,1,36,7,2,11,1,0,600,6,12,5,5,N,3,280.79724121000004,0
24,0,36,10,4,13,1,0,558,6,15,5,7,D,4,198.45800781000003,1
10,2,14,8,0,6,1,0,484,2,10,2,7,V,7,166.6088867200001,0
14,1,18,5,1,4,0,0,732,2,9,2,4,V,4,305.1378173799999,1
