Pour Manchester CityContre Manchester City;;;;;;;;;;Total;;;;;Court;;;Moyen;;;Long;;;;;;;;;;
Date;Heure;Comp;Tour;Jour;Tribune;R̩sultat;BM;BE;Adversaire;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xA;PC;01-mars;PPA;CntSR;Prog;Rapport de match
04/08/2019;15:00 (16:00);Community Shield;FA Community Shield;Dim;Terrain neutre;V;1 (5);1 (4);Liverpool;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
10/08/2019;12:30 (13:30);Premier League;Journ̩e 1;Sam;Ext̩rieur;V;5;0;West Ham;495;564;87.8;8930;2945;219;237;92.4;210;236;89.0;59;75;78.7;4;1.7;11;33;12;1;43;Rapport de match
17/08/2019;17:30 (18:30);Premier League;Journ̩e 2;Sam;Domicile;N;2;2;Tottenham;565;649;87.1;11385;3223;224;249;90.0;248;268;92.5;88;113;77.9;2;2.4;22;50;17;3;66;Rapport de match
25/08/2019;14:00 (15:00);Premier League;Journ̩e 3;Dim;Ext̩rieur;V;3;1;Bournemouth;666;764;87.2;12856;3246;233;258;90.3;346;372;93.0;76;103;73.8;3;1.5;12;51;11;2;54;Rapport de match
31/08/2019;15:00 (16:00);Premier League;Journ̩e 4;Sam;Domicile;V;4;0;Brighton;542;617;87.8;10010;2654;225;242;93.0;247;267;92.5;64;93;68.8;4;1.9;13;36;17;1;45;Rapport de match
14/09/2019;17:30 (18:30);Premier League;Journ̩e 5;Sam;Ext̩rieur;D;2;3;Norwich City;614;720;85.3;12151;2922;229;264;86.7;288;321;89.7;93;121;76.9;2;1.5;15;83;17;3;55;Rapport de match
18/09/2019;22:00 (21:00);Champions Lg;Phase de groupe;Mer;Ext̩rieur;V;3;0;ua Shakhtar;602;666;90.4;11070;3080;264;282;93.6;253;273;92.7;77;94;81.9;3;2.3;14;52;19;3;48;Rapport de match
21/09/2019;15:00 (16:00);Premier League;Journ̩e 6;Sam;Domicile;V;8;0;Watford;691;774;89.3;12288;3385;339;363;93.4;264;301;87.7;78;93;83.9;4;4.0;21;44;15;8;64;Rapport de match
24/09/2019;19:45 (20:45);EFL Cup;Troisi̬me tour;Mar;Ext̩rieur;V;3;0;Preston;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
28/09/2019;17:30 (18:30);Premier League;Journ̩e 7;Sam;Ext̩rieur;V;3;1;Everton;593;659;90.0;12369;3230;200;216;92.6;289;303;95.4;94;121;77.7;1;3.0;16;43;19;3;54;Rapport de match
01/10/2019;20:00 (21:00);Champions Lg;Phase de groupe;Mar;Domicile;V;2;0;hr Dinamo Zagreb;744;860;86.5;13409;3516;324;358;90.5;320;361;88.6;84;107;78.5;2;2.2;15;70;28;3;70;Rapport de match
06/10/2019;14:00 (15:00);Premier League;Journ̩e 8;Dim;Domicile;D;0;2;Wolves;658;760;86.6;12964;3553;265;296;89.5;287;318;90.3;102;130;78.5;0;0.7;11;56;13;4;47;Rapport de match
19/10/2019;17:30 (18:30);Premier League;Journ̩e 9;Sam;Ext̩rieur;V;2;0;Crystal Palace;625;718;87.0;12244;3206;244;266;91.7;296;318;93.1;84;114;73.7;2;2.1;19;42;22;4;56;Rapport de match
22/10/2019;20:00 (21:00);Champions Lg;Phase de groupe;Mar;Domicile;V;5;1;it Atalanta;448;524;85.5;9594;2903;164;181;90.6;192;209;91.9;87;119;73.1;4;2.7;12;37;8;0;32;Rapport de match
26/10/2019;12:30 (13:30);Premier League;Journ̩e 10;Sam;Domicile;V;3;0;Aston Villa;554;638;86.8;10721;3104;215;245;87.8;241;269;89.6;85;102;83.3;1;1.8;22;49;18;2;56;Rapport de match
29/10/2019;19:45 (20:45);EFL Cup;Quatri̬me tour;Mar;Domicile;V;3;1;Southampton;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
02/11/2019;15:00 (16:00);Premier League;Journ̩e 11;Sam;Domicile;V;2;1;Southampton;611;732;83.5;12776;3717;199;224;88.8;291;337;86.4;111;141;78.7;1;2.0;14;80;34;8;79;Rapport de match
06/11/2019;21:00;Champions Lg;Phase de groupe;Mer;Ext̩rieur;N;1;1;it Atalanta;502;587;85.5;10453;3148;178;193;92.2;221;244;90.6;96;129;74.4;1;1.0;6;31;8;2;37;Rapport de match
10/11/2019;16:30 (17:30);Premier League;Journ̩e 12;Dim;Ext̩rieur;D;1;3;Liverpool;441;554;79.6;9163;2960;149;170;87.6;219;256;85.5;68;109;62.4;0;1.0;12;43;7;1;42;Rapport de match
23/11/2019;17:30 (18:30);Premier League;Journ̩e 13;Sam;Domicile;V;2;1;Chelsea;493;585;84.3;10011;2803;177;196;90.3;233;259;90.0;79;109;72.5;1;0.5;9;33;12;1;44;Rapport de match
26/11/2019;20:00 (21:00);Champions Lg;Phase de groupe;Mar;Domicile;N;1;1;ua Shakhtar;624;711;87.8;12171;3159;243;268;90.7;285;313;91.1;92;115;80.0;1;1.2;16;66;17;4;63;Rapport de match
30/11/2019;12:30 (13:30);Premier League;Journ̩e 14;Sam;Ext̩rieur;N;2;2;Newcastle Utd;705;816;86.4;13642;3692;257;290;88.6;343;378;90.7;95;127;74.8;1;2.0;18;69;17;2;74;Rapport de match
03/12/2019;20:15 (21:15);Premier League;Journ̩e 15;Mar;Ext̩rieur;V;4;1;Burnley;729;836;87.2;14006;3838;279;304;91.8;353;390;90.5;90;119;75.6;3;1.5;13;66;23;1;66;Rapport de match
07/12/2019;17:30 (18:30);Premier League;Journ̩e 16;Sam;Domicile;D;1;2;Manchester Utd;605;710;85.2;12035;3092;214;241;88.8;302;333;90.7;80;112;71.4;1;1.6;18;64;21;2;57;Rapport de match
11/12/2019;18:55;Champions Lg;Phase de groupe;Mer;Ext̩rieur;V;4;1;hr Dinamo Zagreb;876;950;92.2;15168;3985;418;438;95.4;362;384;94.3;81;106;76.4;4;2.2;11;80;11;2;64;Rapport de match
15/12/2019;16:30 (17:30);Premier League;Journ̩e 17;Dim;Ext̩rieur;V;3;0;Arsenal;628;697;90.1;11691;3257;258;276;93.5;272;295;92.2;84;105;80.0;2;0.8;9;37;9;1;34;Rapport de match
18/12/2019;19:45 (20:45);EFL Cup;Quarts de finale;Mer;Ext̩rieur;V;3;1;Oxford United;;;;;;;;;;;;;;;3;;;;;;;Rapport de match
21/12/2019;17:30 (18:30);Premier League;Journ̩e 18;Sam;Domicile;V;3;1;Leicester City;637;710;89.7;12908;3327;245;261;93.9;273;291;93.8;111;137;81.0;2;2.6;20;45;15;6;38;Rapport de match
27/12/2019;19:45 (20:45);Premier League;Journ̩e 19;Ven;Ext̩rieur;D;2;3;Wolves;284;369;77.0;5289;1718;113;129;87.6;140;156;89.7;30;71;42.3;1;0.5;3;16;2;0;17;Rapport de match
29/12/2019;18:00 (19:00);Premier League;Journ̩e 20;Dim;Domicile;V;2;0;Sheffield Utd;784;868;90.3;14295;3767;339;355;95.5;370;401;92.3;69;92;75.0;2;0.8;13;59;11;2;36;Rapport de match
01/01/2020;17:30 (18:30);Premier League;Journ̩e 21;Mer;Domicile;V;2;1;Everton;716;789;90.7;12988;3656;314;335;93.7;314;332;94.6;80;107;74.8;2;1.6;14;37;12;3;48;Rapport de match
04/01/2020;17:31 (18:31);FA Cup;Troisi̬me tour;Sam;Domicile;V;4;1;Port Vale;;;;;;;;;;;;;;;4;;;;;;;Rapport de match
07/01/2020;20:00 (21:00);EFL Cup;Demi-finales;Mar;Ext̩rieur;V;3;1;Manchester Utd;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
12/01/2020;16:30 (17:30);Premier League;Journ̩e 22;Dim;Ext̩rieur;V;6;1;Aston Villa;808;883;91.5;14853;3686;350;372;94.1;355;382;92.9;94;109;86.2;6;1.8;15;49;20;3;59;Rapport de match
18/01/2020;15:00 (16:00);Premier League;Journ̩e 23;Sam;Domicile;N;2;2;Crystal Palace;634;744;85.2;12137;3512;252;274;92.0;293;332;88.3;81;109;74.3;2;1.7;19;62;28;8;78;Rapport de match
21/01/2020;19:30 (20:30);Premier League;Journ̩e 24;Mar;Ext̩rieur;V;1;0;Sheffield Utd;560;661;84.7;11443;3202;195;215;90.7;267;308;86.7;90;118;76.3;1;2.1;16;32;10;1;39;Rapport de match
26/01/2020;13:00 (14:00);FA Cup;Quatri̬me tour;Dim;Domicile;V;4;0;Fulham;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
29/01/2020;19:45 (20:45);EFL Cup;Demi-finales;Mer;Domicile;D;0;1;Manchester Utd;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
02/02/2020;16:30 (17:30);Premier League;Journ̩e 25;Dim;Ext̩rieur;D;0;2;Tottenham;632;726;87.1;13075;3346;231;258;89.5;278;305;91.1;119;142;83.8;0;2.0;12;66;15;1;68;Rapport de match
19/02/2020;19:30 (20:30);Premier League;Journ̩e 26;Mer;Domicile;V;2;0;West Ham;830;930;89.2;14846;3765;381;412;92.5;347;376;92.3;84;107;78.5;2;1.9;15;69;17;1;67;Rapport de match
22/02/2020;17:30 (18:30);Premier League;Journ̩e 27;Sam;Ext̩rieur;V;1;0;Leicester City;610;703;86.8;11828;2909;259;281;92.2;257;280;91.8;92;122;75.4;1;1.3;13;33;10;1;38;Rapport de match
26/02/2020;21:00;Champions Lg;Huiti̬mes de finale;Mer;Ext̩rieur;V;2;1;es Real Madrid;544;620;87.7;9863;2721;240;259;92.7;234;255;91.8;60;89;67.4;1;1.4;11;37;6;1;30;Rapport de match
01/03/2020;16:30 (17:30);EFL Cup;Finale;Dim;Terrain neutre;V;2;1;Aston Villa;;;;;;;;;;;;;;;2;;;;;;;Rapport de match
04/03/2020;19:45 (20:45);FA Cup;Cinqui̬me tour;Mer;Ext̩rieur;V;1;0;Sheffield Weds;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
08/03/2020;16:30 (17:30);Premier League;Journ̩e 29;Dim;Ext̩rieur;D;0;2;Manchester Utd;694;801;86.6;13926;3640;248;276;89.9;326;347;93.9;112;156;71.8;0;0.6;6;61;5;1;38;Rapport de match
17/06/2020;20:15 (21:15);Premier League;Journ̩e 28;Mer;Domicile;V;3;0;Arsenal;663;722;91.8;12988;3208;265;282;94.0;284;298;95.3;103;120;85.8;0;2.1;14;41;11;0;46;Rapport de match
22/06/2020;20:00 (21:00);Premier League;Journ̩e 30;Lun;Domicile;V;5;0;Burnley;768;845;90.9;14277;3596;321;347;92.5;356;376;94.7;82;102;80.4;4;1.9;16;46;15;2;58;Rapport de match
25/06/2020;20:15 (21:15);Premier League;Journ̩e 31;Jeu;Ext̩rieur;D;1;2;Chelsea;656;738;88.9;13047;3002;252;270;93.3;295;313;94.2;103;140;73.6;0;0.5;8;58;9;2;49;Rapport de match
28/06/2020;18:30 (19:30);FA Cup;Quarts de finale;Dim;Ext̩rieur;V;2;0;Newcastle Utd;;;;;;;;;;;;;;;1;;;;;;;Rapport de match
02/07/2020;20:15 (21:15);Premier League;Journ̩e 32;Jeu;Domicile;V;4;0;Liverpool;445;527;84.4;8944;3102;157;176;89.2;206;226;91.2;71;102;69.6;2;1.8;11;21;9;2;29;Rapport de match
05/07/2020;19:00 (20:00);Premier League;Journ̩e 33;Dim;Ext̩rieur;D;0;1;Southampton;739;846;87.4;14982;3981;283;315;89.8;329;365;90.1;120;148;81.1;0;1.8;17;56;28;3;73;Rapport de match
08/07/2020;18:00 (19:00);Premier League;Journ̩e 34;Mer;Domicile;V;5;0;Newcastle Utd;800;873;91.6;15396;3692;321;344;93.3;369;398;92.7;105;118;89.0;3;3.1;22;57;26;5;58;Rapport de match
11/07/2020;20:00 (21:00);Premier League;Journ̩e 35;Sam;Ext̩rieur;V;5;0;Brighton;748;840;89.0;14822;3790;296;321;92.2;322;347;92.8;122;151;80.8;4;3.6;20;43;12;2;52;Rapport de match
15/07/2020;18:00 (19:00);Premier League;Journ̩e 36;Mer;Domicile;V;2;1;Bournemouth;668;761;87.8;12837;2841;273;298;91.6;311;339;91.7;78;108;72.2;1;0.7;6;37;11;3;37;Rapport de match
18/07/2020;19:45 (20:45);FA Cup;Demi-finales;Sam;Terrain neutre;D;0;2;Arsenal;;;;;;;;;;;;;;;0;;;;;;;Rapport de match
21/07/2020;18:00 (19:00);Premier League;Journ̩e 37;Mar;Ext̩rieur;V;4;0;Watford;693;785;88.3;13636;3534;270;290;93.1;322;345;93.3;95;132;72.0;2;1.5;18;82;15;1;64;Rapport de match
26/07/2020;16:00 (17:00);Premier League;Journ̩e 38;Dim;Domicile;V;5;0;Norwich City;682;759;89.9;13368;3561;252;280;90.0;318;342;93.0;98;114;86.0;2;2.3;25;67;33;2;77;Rapport de match
07/08/2020;20:00 (21:00);Champions Lg;Huiti̬mes de finale;Ven;Domicile;V;2;1;es Real Madrid;547;636;86.0;11088;3321;207;233;88.8;249;271;91.9;84;120;70.0;1;1.9;17;47;10;0;38;Rapport de match
15/08/2020;20:00 (21:00);Champions Lg;Quarts de finale;Sam;Terrain neutre;D;1;3;fr Lyon;586;684;85.7;11302;3092;212;231;91.8;297;320;92.8;72;111;64.9;1;1.6;9;47;8;1;51;Rapport de match
;;;;;;42-5-12;151;52;;29739;33911;87.7;575245;154587;11793;12871;91.6;13474;14710;91.6;4102;5382;76.2;107;83.4;669;2383;713;112;2438;
